U_S_ Total Gasoline Through Company Outlets Price by All Sellers (Dollars per Gallon)_PREDICTION,DEPLOYMENT_APPROVAL_STATUS,Date,"U_S_ Finished Motor Gasoline Stocks at Refineries, Bulk Terminals, and Natural Gas Plants (Thousand Barrels)","U_S_ Reformulated Motor Gasoline Stocks at Refineries, Bulk Terminals, and Natural Gas Plants (Thousand Barrels)","U_S_ Conventional Motor Gasoline Stocks at Refineries, Bulk Terminals, and Natural Gas Plants (Thousand Barrels)",U_S_ Total Gasoline All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Regular Gasoline All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Gasoline Midgrade All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Premium Gasoline All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Aviation Gasoline All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Kerosene_Type Jet Fuel All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),U_S_ Total Gasoline Through Company Outlets Price by All Sellers (Dollars per Gallon),U_S_ Regular Gasoline Through Company Outlets Price by All Sellers (Dollars per Gallon),U_S_ Gasoline Midgrade Through Company Outlets Price by All Sellers (Dollars per Gallon),U_S_ Premium Gasoline Through Company Outlets Price by All Sellers (Dollars per Gallon),U_S_ Aviation Gasoline Retail Sales by Refiners (Dollars per Gallon)
0.7735149708,APPROVED,1993-01-15,140965,0,140965,292206.7,196322.5,35242.1,57310.0,517.6,47041.8,0.763,0.722,0.807,0.892,1.003
0.722274631,APPROVED,1993-02-15,145557,0,145557,311617.3,209247.9,37276.0,61598.3,650.3,47619.4,0.754,0.714,0.797,0.878,0.999
0.7280284628,APPROVED,1993-03-15,135815,0,135815,314819.7,211692.0,37579.1,61828.5,747.6,47792.8,0.755,0.715,0.797,0.878,0.994
0.7416275891,APPROVED,1993-04-15,130662,0,130662,324876.6,218889.3,38480.0,63592.5,814.0,48912.8,0.777,0.737,0.821,0.906,1.007
0.8149956328,APPROVED,1993-05-15,132777,0,132777,323118.8,218009.5,38114.7,63078.7,914.9,49899.5,0.797,0.758,0.84,0.924,1.022
0.7634745542,APPROVED,1993-06-15,132950,0,132950,335721.3,226461.9,39214.0,65984.4,1035.1,50384.4,0.794,0.754,0.836,0.921,1.025
0.7513482495,APPROVED,1993-07-15,123764,0,123764,336371.2,224585.7,40098.1,67805.3,1083.4,51271.4,0.775,0.734,0.817,0.902,0.997
0.7209962137,APPROVED,1993-08-15,118299,0,118299,334404.4,223154.7,39567.0,67706.7,1036.7,52007.5,0.764,0.721,0.805,0.893,0.988
0.783605968,APPROVED,1993-09-15,121900,0,121900,326018.2,217511.0,38637.2,66064.9,923.9,51813.2,0.751,0.709,0.792,0.881,0.982
0.7919383277,APPROVED,1993-10-15,124548,0,124548,322287.8,220699.0,38180.3,63408.5,872.7,50711.4,0.751,0.712,0.79,0.881,0.98
0.7184121296,APPROVED,1993-11-15,131909,0,131909,325399.9,221052.0,38785.8,65562.1,706.3,52370.3,0.726,0.685,0.764,0.853,0.957
0.6736555873,APPROVED,1993-12-15,136145,0,136145,328422.6,221407.6,39302.2,67712.7,635.6,52149.5,0.68,0.637,0.72,0.81,0.912
0.6803112473,APPROVED,1994-01-15,143280,0,143280,299392.0,199710.3,36012.7,63669.0,569.4,49334.7,0.666,0.623,0.705,0.795,0.886
0.6785172922,APPROVED,1994-02-15,138237,0,138237,314953.6,210585.4,37780.8,66587.4,654.1,49026.6,0.675,0.633,0.716,0.795,0.884
0.6868690087,APPROVED,1994-03-15,127435,0,127435,324234.0,217958.3,39188.5,67087.2,826.0,51650.5,0.673,0.63,0.714,0.804,0.89
0.6858546308,APPROVED,1994-04-15,126021,0,126021,330060.6,223392.7,39311.0,67357.0,845.1,54930.6,0.693,0.65,0.735,0.823,0.913
0.6969212713,APPROVED,1994-05-15,128498,0,128498,330510.6,222341.0,39957.7,68211.9,1011.2,54048.0,0.709,0.667,0.751,0.84,0.923
0.741895819,APPROVED,1994-06-15,124889,0,124889,342276.6,230999.2,41152.5,70125.0,1101.8,55197.9,0.737,0.696,0.778,0.865,0.956
0.7728809419,APPROVED,1994-07-15,121235,0,121235,336288.9,227382.3,40636.9,68269.8,1162.4,56035.0,0.768,0.727,0.809,0.894,0.974
0.8095601899,APPROVED,1994-08-15,116864,0,116864,343779.9,235341.6,40927.8,67510.5,1174.5,57697.6,0.807,0.767,0.848,0.933,1.017
0.8101823474,APPROVED,1994-09-15,118335,354,117981,333013.4,227881.9,39518.1,65613.4,1052.8,56872.0,0.792,0.751,0.834,0.92,1.011
0.8332864105,APPROVED,1994-10-15,115236,5378,109858,330463.6,226070.3,39243.1,65150.2,842.6,54774.9,0.77,0.728,0.813,0.9,1.0
0.7281892502,APPROVED,1994-11-15,126804,30175,96629,329429.5,224886.5,39379.3,65163.7,772.0,56069.0,0.772,0.73,0.817,0.905,1.0
0.6921270883,APPROVED,1994-12-15,125374,34046,91328,334972.5,225703.4,41391.1,67878.0,632.7,56103.4,0.748,0.704,0.791,0.881,0.992
0.6903925136,APPROVED,1995-01-15,134701,33034,101667,305943.5,205642.8,38421.7,61879.0,564.8,54765.4,0.74,0.696,0.783,0.871,0.996
0.68462244,APPROVED,1995-02-15,128466,30967,97499,322421.1,216602.6,40862.5,64956.0,668.4,51874.7,0.732,0.689,0.775,0.863,0.998
0.7088766925,APPROVED,1995-03-15,117303,30666,86637,331126.4,221433.1,41554.1,68139.2,769.5,53941.3,0.732,0.69,0.771,0.85,0.99
0.8054114609,APPROVED,1995-04-15,116740,29769,86971,329827.7,222423.1,41624.7,65779.9,802.8,54353.2,0.776,0.735,0.815,0.903,1.013
0.8175101245,APPROVED,1995-05-15,116151,28712,87439,341311.1,233167.2,42911.8,65232.1,973.7,55284.8,0.833,0.793,0.877,0.963,1.058
0.7866287022,APPROVED,1995-06-15,112574,25673,86901,353167.9,242679.6,44051.2,66437.2,1000.6,56209.3,0.837,0.797,0.882,0.966,1.064
0.8067756061,APPROVED,1995-07-15,114694,28293,86401,343697.5,234316.0,43578.6,65802.9,1063.8,56468.8,0.802,0.762,0.846,0.93,1.018
0.7668375015,APPROVED,1995-08-15,106503,25841,80662,354811.1,240807.2,44871.1,69132.8,1098.5,57758.7,0.776,0.735,0.817,0.904,0.992
0.8242812323,APPROVED,1995-09-15,108668,24886,83782,337234.6,228183.1,42754.9,66296.7,942.5,56416.1,0.764,0.724,0.803,0.891,1.013
0.7619444844,APPROVED,1995-10-15,106975,25352,81623,338400.5,227817.1,43415.8,67167.7,803.9,56699.9,0.741,0.699,0.78,0.867,0.968
0.7366698041,APPROVED,1995-11-15,106466,24865,81601,337841.0,224688.4,44157.1,68995.5,690.2,56896.4,0.721,0.678,0.762,0.846,0.954
0.7730127597,APPROVED,1995-12-15,109788,27144,82644,333498.6,221044.7,44076.7,68377.2,571.5,55724.2,0.732,0.689,0.772,0.857,0.96
0.7654400967,APPROVED,1996-01-15,120181,29423,90758,311386.5,208134.2,40957.2,62295.2,541.8,57805.1,0.746,0.704,0.786,0.873,1.012
0.7560199965,APPROVED,1996-02-15,117107,30262,86845,326881.1,218490.3,43127.7,65263.1,603.8,58810.1,0.75,0.708,0.79,0.876,1.006
0.8028944531,APPROVED,1996-03-15,108765,29325,79440,331178.9,225029.5,43203.8,62945.5,693.1,59143.7,0.798,0.759,0.839,0.925,1.05
0.8366352745,APPROVED,1996-04-15,108140,30220,77920,342258.7,239764.6,42877.4,59616.7,816.1,60408.7,0.879,0.842,0.924,1.006,1.114
0.9046326298,APPROVED,1996-05-15,111000,32784,78216,345818.8,249512.7,41135.6,55170.5,925.8,60325.7,0.913,0.879,0.962,1.041,1.144
0.9331219724,APPROVED,1996-06-15,111646,30470,81176,348403.5,249587.8,41420.8,57394.8,950.1,61257.3,0.889,0.855,0.939,1.017,1.135
0.8675476988,APPROVED,1996-07-15,111565,30766,80799,353754.4,251225.3,42304.1,60225.0,1030.3,61401.8,0.867,0.831,0.914,0.994,1.137
0.8204364099,APPROVED,1996-08-15,106511,29557,76954,355688.7,252243.8,42322.3,61122.6,1059.8,61710.5,0.848,0.813,0.894,0.974,1.144
0.8455056842,APPROVED,1996-09-15,111649,30214,81435,335198.3,238202.1,40095.1,56901.0,865.3,61629.7,0.846,0.811,0.891,0.973,1.143
0.811947803,APPROVED,1996-10-15,102688,29411,73277,344902.4,245648.0,41095.1,58159.3,822.5,58196.2,0.851,0.816,0.898,0.98,1.15
0.8380639302,APPROVED,1996-11-15,104065,27476,76589,340286.4,243064.0,40863.2,56359.1,621.0,58008.9,0.876,0.843,0.922,1.004,1.151
0.8078698513,APPROVED,1996-12-15,107859,30729,77130,337018.8,241190.4,40334.5,55494.0,532.7,59646.5,0.875,0.84,0.922,1.005,1.153
0.8822266523,APPROVED,1997-01-15,115801,31944,83857,317585.0,226822.0,38241.1,52521.8,571.7,56673.6,0.877,0.842,0.925,1.009,1.137
0.8580355766,APPROVED,1997-02-15,111082,29200,81882,329821.2,236216.5,39393.8,54210.9,834.8,57750.3,0.866,0.831,0.915,0.997,1.149
0.8598321529,APPROVED,1997-03-15,104350,25621,78729,335799.6,240875.3,39582.7,55341.7,731.6,58791.1,0.844,0.808,0.893,0.972,1.138
0.8464329156,APPROVED,1997-04-15,103693,28347,75346,344051.8,246753.8,40209.3,57088.6,766.9,60322.2,0.836,0.8,0.886,0.963,1.147
0.8332327106,APPROVED,1997-05-15,107326,30845,76481,348075.6,248763.8,40714.6,58597.2,897.1,59572.1,0.839,0.804,0.887,0.964,1.157
0.8706116615,APPROVED,1997-06-15,113223,32624,80599,351113.5,250233.6,41318.2,59561.7,940.7,62704.7,0.829,0.794,0.877,0.955,1.146
0.8748067842,APPROVED,1997-07-15,102904,29037,73867,363440.0,258187.3,43284.8,61967.9,1088.6,62496.7,0.814,0.779,0.863,0.942,
0.8872754485,APPROVED,1997-08-15,102687,28050,74637,358387.5,257337.5,42305.4,58744.6,1028.5,62747.5,0.864,0.829,0.912,0.993,1.146
0.8888106359,APPROVED,1997-09-15,109255,31691,77564,343092.7,247975.7,39900.4,55216.6,883.6,62188.8,0.864,0.828,0.914,0.994,1.156
0.7948584871,APPROVED,1997-10-15,109179,31435,77744,351432.4,253256.7,40930.5,57245.2,809.2,60719.2,0.835,0.799,0.886,0.965,1.139
0.83451913,APPROVED,1997-11-15,113077,32948,80129,337550.4,242098.0,39485.9,55966.5,607.2,62031.9,0.806,0.77,0.857,0.937,1.13
0.7636770384,APPROVED,1997-12-15,115976,33374,82602,348581.1,248632.5,40856.9,59091.7,589.6,61683.9,0.766,0.728,0.818,0.898,1.077
0.6782664616,APPROVED,1998-01-15,123300,33945,89355,323496.0,229911.0,38186.5,55398.4,502.8,58044.0,0.721,0.684,0.771,0.853,1.043
0.7075761185,APPROVED,1998-02-15,126240,36034,90206,335167.1,239056.4,38504.4,57606.3,629.0,59719.5,0.685,0.647,0.736,0.818,1.008
0.6471598351,APPROVED,1998-03-15,117138,32771,84367,343963.5,244318.9,39252.1,60392.5,796.3,59427.8,0.657,0.619,0.707,0.788,0.984
0.6914448977,APPROVED,1998-04-15,115997,34585,81412,351645.5,251582.4,39095.8,60967.3,835.1,60353.0,0.672,0.635,0.719,0.802,0.993
0.6946177238,APPROVED,1998-05-15,121749,38853,82896,355069.1,253654.2,39583.9,61831.1,872.4,61346.7,0.702,0.666,0.75,0.829,1.011
0.6608514371,APPROVED,1998-06-15,123337,40052,83285,368321.4,263067.5,40883.1,64370.7,977.4,63303.1,0.696,0.658,0.746,0.824,0.991
0.6740543279,APPROVED,1998-07-15,121078,36856,84222,370309.5,262776.7,41395.3,66137.5,1077.0,62669.9,0.684,0.646,0.735,0.814,0.985
0.6788560813,APPROVED,1998-08-15,115644,32723,82921,363216.5,257266.7,40614.6,65335.2,933.2,63074.4,0.658,0.618,0.712,0.786,0.959
0.6715249555,APPROVED,1998-09-15,113756,31227,82529,355466.6,251800.0,39534.6,64132.0,938.1,58267.6,0.645,0.605,0.698,0.775,0.941
0.7056740258,APPROVED,1998-10-15,110758,31432,79326,359486.6,254585.8,40425.0,64475.7,851.8,62884.4,0.652,0.611,0.704,0.785,0.951
0.6548000374,APPROVED,1998-11-15,116957,33031,83926,347231.3,244516.7,39026.2,63688.4,647.0,60199.6,0.625,0.583,0.681,0.759,0.933
0.6156261032,APPROVED,1998-12-15,120947,34362,86585,356435.4,249763.5,39933.6,66738.4,636.9,62109.6,0.581,0.538,0.638,0.714,0.887
0.6646493258,APPROVED,1999-01-15,131171,36349,94822,323265.9,224874.7,36755.5,61635.7,549.9,53964.4,0.58,0.536,0.631,0.713,0.871
0.5477512888,APPROVED,1999-02-15,128080,35881,92199,347337.8,242585.9,38974.4,65777.6,720.1,58380.6,0.561,0.517,0.616,0.695,0.851
0.5461263305,APPROVED,1999-03-15,119102,35073,84029,357105.4,251926.0,39793.1,65386.3,762.8,58830.5,0.633,0.594,0.683,0.762,0.901
0.6891578152,APPROVED,1999-04-15,121552,38552,83000,359659.2,262910.4,37979.3,58769.5,834.5,60466.2,0.756,0.72,0.812,0.881,1.014
0.7822444106,APPROVED,1999-05-15,123131,37284,85847,360674.8,261795.6,38626.5,60252.6,858.1,62512.2,0.757,0.719,0.812,0.886,1.042
0.7511399036,APPROVED,1999-06-15,120353,35376,84977,373982.0,270739.4,39654.5,63588.1,1040.7,64213.4,0.738,0.701,0.791,0.868,1.041
0.7951779015,APPROVED,1999-07-15,114065,32404,81661,373161.5,270953.3,39923.9,62284.3,1039.0,63912.5,0.788,0.753,0.84,0.916,1.079
0.8317947797,APPROVED,1999-08-15,108814,31661,77153,368014.3,270172.7,38355.0,59486.6,1022.6,63905.0,0.845,0.809,0.9,0.974,1.132
0.8719979177,APPROVED,1999-09-15,112620,31578,81042,357659.4,264130.4,37084.0,56445.0,1011.2,61712.1,0.871,0.836,0.925,1.002,1.154
0.845206404,APPROVED,1999-10-15,111854,31731,80123,357262.6,264977.0,36625.8,55659.8,832.9,59981.7,0.86,0.824,0.915,0.995,1.176
0.8487564223,APPROVED,1999-11-15,114335,34379,79956,354350.4,261110.0,36818.8,56421.6,706.8,61272.5,0.873,0.838,0.925,1.007,1.164
0.8319724027,APPROVED,1999-12-15,104804,31115,73689,375695.1,277629.8,39254.5,58810.8,630.6,63333.9,0.893,0.858,0.947,1.029,1.196
0.9143796284,APPROVED,2000-01-15,114610,34837,79773,311407.7,232343.6,31635.9,47428.3,473.6,54849.0,0.91,0.877,0.962,1.044,1.187
0.9887936652,APPROVED,2000-02-15,108706,30140,78566,345228.4,259809.5,34961.7,50457.2,584.7,58071.5,0.991,0.96,1.041,1.122,1.195
1.0792060766,APPROVED,2000-03-15,108580,31180,77400,347882.2,271043.0,32389.4,44449.8,695.7,59419.9,1.116,1.087,1.175,1.25,1.291
1.0742167686,APPROVED,2000-04-15,110100,32997,77103,349434.7,271073.9,32109.4,46251.4,701.0,59610.1,1.057,1.024,1.121,1.201,1.243
1.0436096546,APPROVED,2000-05-15,111716,33800,77916,365731.5,282159.9,33910.2,49661.4,878.7,60314.5,1.097,1.067,1.153,1.23,1.268
1.2038891681,APPROVED,2000-06-15,112646,32756,79890,371614.6,290963.9,33348.4,47302.4,893.7,64658.3,1.221,1.198,1.266,1.331,1.398
1.2104180701,APPROVED,2000-07-15,112240,30442,81798,362793.6,283507.3,32504.6,46781.7,894.8,64050.7,1.156,1.125,1.216,1.295,1.426
1.1259424834,APPROVED,2000-08-15,102505,29639,72866,372249.6,288627.0,33872.9,49749.8,1079.2,63585.3,1.085,1.053,1.146,1.232,
1.2123955425,APPROVED,2000-09-15,104278,31653,72625,354559.1,276653.0,31994.7,45911.4,862.7,63839.2,1.156,1.127,1.215,1.293,1.382
